er:-0.00117+0.00117i -0.00308+0.00308i 
tol:0.0027+-0.00652i 0.00204+-0.00491i 
er:-0.00118+0.00118i -0.00308+0.00308i 
tol:0.00271+-0.00654i 0.00204+-0.00492i 
er:-0.00118+0.00118i -0.00308+0.00308i 
tol:0.00271+-0.00655i 0.00204+-0.00492i 
er:-0.00119+0.00119i -0.00308+0.00308i 
tol:0.00272+-0.00656i 0.00204+-0.00492i 
er:-0.0012+0.0012i -0.00308+0.00308i 
tol:0.00272+-0.00657i 0.00204+-0.00492i 
er:-0.0012+0.0012i -0.00308+0.00308i 
tol:0.00273+-0.00659i 0.00204+-0.00492i 
er:-0.00121+0.00121i -0.00308+0.00308i 
tol:0.00273+-0.0066i 0.00204+-0.00493i 
er:-0.00122+0.00122i -0.00309+0.00309i 
tol:0.00274+-0.00661i 0.00204+-0.00493i 
er:-0.00123+0.00123i -0.00309+0.00309i 
tol:0.00274+-0.00662i 0.00204+-0.00493i 
er:-0.00123+0.00123i -0.00309+0.00309i 
tol:0.00275+-0.00663i 0.00204+-0.00493i 
er:-0.00124+0.00124i -0.00309+0.00309i 
tol:0.00275+-0.00665i 0.00204+-0.00493i 
er:-0.00125+0.00125i -0.00309+0.00309i 
tol:0.00276+-0.00666i 0.00205+-0.00494i 
er:-0.00125+0.00125i -0.00309+0.00309i 
tol:0.00276+-0.00667i 0.00205+-0.00494i 
er:-0.00126+0.00126i -0.00309+0.00309i 
tol:0.00277+-0.00668i 0.00205+-0.00494i 
er:-0.00127+0.00127i -0.00309+0.00309i 
tol:0.00277+-0.0067i 0.00205+-0.00494i 
er:-0.00127+0.00127i -0.00309+0.00309i 
tol:0.00278+-0.00671i 0.00205+-0.00494i 
er:-0.00128+0.00128i -0.0031+0.0031i 
tol:0.00278+-0.00672i 0.00205+-0.00495i 
er:-0.00129+0.00129i -0.0031+0.0031i 
tol:0.00279+-0.00673i 0.00205+-0.00495i 
er:-0.0013+0.0013i -0.0031+0.0031i 
tol:0.00279+-0.00674i 0.00205+-0.00495i 
er:-0.0013+0.0013i -0.0031+0.0031i 
tol:0.0028+-0.00676i 0.00205+-0.00495i 
er:-0.00131+0.00131i -0.0031+0.0031i 
tol:0.0028+-0.00677i 0.00205+-0.00496i 
er:-0.00132+0.00132i -0.0031+0.0031i 
tol:0.00281+-0.00678i 0.00205+-0.00496i 
er:-0.00132+0.00132i -0.0031+0.0031i 
tol:0.00281+-0.00679i 0.00206+-0.00496i 
er:-0.00133+0.00133i -0.0031+0.0031i 
tol:0.00282+-0.0068i 0.00206+-0.00496i 
er:-0.00134+0.00134i -0.00311+0.00311i 
tol:0.00282+-0.00682i 0.00206+-0.00497i 
er:-0.00135+0.00135i -0.00311+0.00311i 
tol:0.00283+-0.00683i 0.00206+-0.00497i 
er:-0.00135+0.00135i -0.00311+0.00311i 
tol:0.00283+-0.00684i 0.00206+-0.00497i 
er:-0.00136+0.00136i -0.00311+0.00311i 
tol:0.00284+-0.00685i 0.00206+-0.00497i 
er:-0.00137+0.00137i -0.00311+0.00311i 
tol:0.00284+-0.00686i 0.00206+-0.00498i 
er:-0.00138+0.00138i -0.00311+0.00311i 
tol:0.00285+-0.00688i 0.00206+-0.00498i 
er:-0.00138+0.00138i -0.00311+0.00311i 
tol:0.00285+-0.00689i 0.00206+-0.00498i 
er:-0.00139+0.00139i -0.00312+0.00312i 
tol:0.00286+-0.0069i 0.00206+-0.00498i 
er:-0.0014+0.0014i -0.00312+0.00312i 
tol:0.00286+-0.00691i 0.00207+-0.00499i 
er:-0.0014+0.0014i -0.00312+0.00312i 
tol:0.00287+-0.00692i 0.00207+-0.00499i 
er:-0.00141+0.00141i -0.00312+0.00312i 
tol:0.00287+-0.00693i 0.00207+-0.00499i 
er:-0.00142+0.00142i -0.00312+0.00312i 
tol:0.00288+-0.00695i 0.00207+-0.005i 
er:-0.00143+0.00143i -0.00312+0.00312i 
tol:0.00288+-0.00696i 0.00207+-0.005i 
er:-0.00143+0.00143i -0.00313+0.00313i 
